S.No,Tracking ID,Kollegeapply ID,Client Name,Account Category,Onboarding Status,Campaign Status,Type of Account,Account Zone,State,City,Sales TL,Sales AM,Ops Zonal Manager,Ops TL,OPS AM,Payment Status,Course,Type of Calling,Deal Type,Performance Parameter,Delivery Method,Min Daily Lead Limit(DLL),Max Daily Lead Limit(DLL)	,CRM,CRM Access Status,Client Name in CRM,Feedback Status,CRM Data Status,Application Form Link,Delivery Remark (Objective),Target Lead,Target Application,Target Admission,On-Boarding Date,Delivery Start Date,Delivery End Date,No. of Days,Ads Approval,Ads Status,Landing Page Used,Ads Redirection Link,Ads Started Date,META Status,API Limit,Maximum DLL (Daily Lead Limit),Regular DLL (Daily Lead Limit),Lead Origin - Ads Leads,Application Form Fee,Application Last Date,KAPP LP - Adwords Desktop,KAPP LP - Adwords Mobile,KAPP LP - Bing,KAPP LP - META,KAPP LP - SMS,KAPP LP - Email,KAPP LP - Whatsapp,Duplicate Lead Code,Application Code,Vendor Code,Admission Code,OTP Page ?,Application Status,Application Remarks,Admission Status,Admission Remarks,Campaign Remarks
11,12000011,7043285,XIM University,,Onboarded,Active,College/University,East,Odisha,Bhubaneswar,Viswajeet Biswal,Abhitosh Das,Dinesh Singh,Anubha Agrawal,Anubha Agrawal,Will be received,"MBA, MMS & PHD - Jan
After Jan - Others",Client,CPL,Admission,Google Sheet,50,100,Google Sheet,NA,-,,UnMask,-,"Please Note : Till January we will be delivering the MBA, MMS & PHD only then from January onwards we will be delivering the UG & other courses. The same will be implicated for Branding as well.",15000,,15,15-Sep-2025,15-Sep-2025,,211,Yes - Open,Stopped,KAPP LP,-,,,No,,500,,,31-Mar-2026,ca11,cb11,cc11,cm11,cs11,ce11,cw11,cad11,cap11,cv11,,,,,Vlookup,,
12,12000012,7042268,Atlas SkillsTech University - Executive MBA,,Onboarded,Closed,College/University,West,Maharashtra,Mumbai,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Aadesh Kumar,Not Received,Executive MBA,Client,CPL,Application,API,5,10,NPF 5,Received,Atlas SkillsTech University,Realtime,Mask,https://getcollegenow.com/Atlas2026/login.php,,200,10,,13-Sep-2025,15-Sep-2025,14-Oct-2025,211,No,Stopped,KAPP LP,https://getcollegenow.com/Atlas2026/login.php,,,,,50,,,,ca12,cb12,cc12,cm12,cs12,ce12,cw12,cad12,cap12,cv12,,,,,,,
13,12000013,7004685,IIAD,,Onboarded,Active,College/University,East,Delhi,New Delhi,Viswajeet Biswal,Rahul Raj,Dinesh Singh,Anubha Agrawal,Anubha Agrawal,Will be received,"B.Des, M.Des",Client,CPA,Application,API,-,-,NPF,Received,Indian Institute of Art and Design,Realtime,Mask,https://apply.iiad.edu.in/ug-application-form/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,12000,250,,16-Sep-2025,16-Sep-2025,,210,Yes - Hidden,Stopped,Client LP,https://apply.iiad.edu.in/ug-application-form/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,No,,200,,2500,15-Apr-2026,ca13,cb13,cc13,cm13,cs13,ce13,cw13,cad13,cap13,cv13,,,Dashboard,Paid Applications,,,
14,12000014,7014661,MEWA Vanguard Business School,,Onboarded,Active,College/University,South,Karnataka,Bangalore,Raghav Luthra,Akhil Das,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,"MBA,MCA,BCA,BBA Aviation,BBA 
B.Com",Client,CPL,Admission,Google Sheet,,,Google Sheet,NA,MEWA Vanguard Business School,Offline,UnMask,-,,,,3,17-Sep-2025,18-Sep-2025,,208,Yes,Not Running,,-,-,,No,50,50,,,,ca14,cb14,cc14,cm14,cs14,ce14,cw14,cad14,cap14,cv14,,,Vlookup,,Vlookup,,
15,12000015,7022523,SPJIMR PGDM,,Onboarded,Closed,College/University,West,Maharashtra,Mumbai,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Aadesh Kumar,Received,PGDM,Client,CPL,Application,API,-,-,NPF,Received,SPJIMR,Realtime,Mask,https://pgdmadmissions.spjimr.org/?utm_source=KollegeApply&utm_medium=kapp01&utm_campaign=2026pgdm,,8000,650,,22-Aug-2025,19-Sep-2025,28-Nov-2025,207,No,Stopped,Client LP,https://pgdmadmissions.spjimr.org/?utm_source=KollegeApply&utm_medium=kapp01&utm_campaign=2026pgdm,,,No,,20,,,,ca15,cb15,cc15,cm15,cs15,ce15,cw15,cad15,cap15,cv15,,,,,,,
16,12000016,7050090,Myra School of Business,,Onboarded,Active,College/University,South,Karnataka,Mysuru,Raghav Luthra,Roshan Das,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,PGDM,Client,CPA,Application,API,,,NPF,Received,Myra School of Business,Realtime,UnMask,https://admissions.myra.ac.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,20,,19-Sep-2025,19-Sep-2025,,207,Yes,Stopped,,https://admissions.myra.ac.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,22-Sep-2025,,Yes,100,100,,,,ca16,cb16,cc16,cm16,cs16,ce16,cw16,cad16,cap16,cv16,,Yes,Dashboard,,Dashboard,,
17,12000017,7037246,Dr. D.Y. Patil School of Design,,Onboarded,Active,College/University,West,Maharashtra,Pune,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Kartik,Not Received,"Bachelor of Design (B.Des) in Communication Design, UI/UX Design, Product Design, Fashion Design, and Interior, Spatial & Furniture Design",Client,CPL,Application,API,20,50,NPF 5,Received,Dr. D.Y. Patil School of Design,Realtime,Mask,https://apply.dpu.edu.in/?utm_source=KollegeApply&utm_medium=textlinkb&utm_campaign=2026,,3000,120,,20-Sep-2025,22-Sep-2025,28-Mar-2026,204,No,Running,Client LP,https://apply.dpu.edu.in/?utm_source=KollegeApply&utm_medium=textlinkb&utm_campaign=2026,6-Nov-2025,,,60,60,,,,ca17,cb17,cc17,cm17,cs17,ce17,cw17,cad17,cap17,cv17,,No,,,,,
18,12000018,7050173,SDMIMD,,Onboarded,Active,College/University,South,Karnataka,Mysuru,Raghav Luthra,Andrin,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,PGDM,Client,CPL,Application,Google Sheet,,,Google Sheet,NA,SDMIMD,Offline,UnMask,https://forms.kollegeapply.com/SDMIMD2026/,,900,40,,20-Sep-2025,20-Sep-2025,,206,Yes,Stopped,,https://forms.kollegeapply.com/SDMIMD2026/,-,,No,50,50,,,,ca18,cb18,cc18,cm18,cs18,ce18,cw18,cad18,cap18,cv18,,No,Vlookup,,Vlookup,,
19,12000019,7011593,Lexicon MILE,,Onboarded,Paused,College/University,West,Maharashtra,Pune,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Kartik,Not Received,MBA/PGDM,Client,CPL,Application,API,20,50,NPF,Received,Lexicon MILE,Realtime,Mask,https://admissions.lexiconmile.com/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,2400,75,,22-Sep-2025,25-Sep-2025,,201,Yes,Running,Client LP,https://admissions.lexiconmile.com/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,,50,50,,,,ca19,cb19,cc19,cm19,cs19,ce19,cw19,cad19,cap19,cv19,,No,,,,,
20,12000020,7013565,MERI,,Onboarded,Active,College/University,North,Delhi,New Delhi,Karan Juneja,Satyam Verma,Dinesh Singh,Dinesh Singh,Vasudev Sharma,Not Received,MBA,Client,CPS,Admission,API,5,200,NPF 5,Received,Management Education and Research Institute,Realtime,UnMask,https://admissions.meri.edu.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,"Location Delhi, September 2025-September 2026",20000,,50,23-Sep-2025,23-Sep-2025,,203,Yes - Open,Stopped,Client LP,https://admissions.meri.edu.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,No,400,350,Both (Online/API),,,ca20,cb20,cc20,cm20,cs20,ce20,cw20,cad20,cap20,cv20,,,Dashboard,Paid Applications,,,
21,12000021,7038720,TDV,,Onboarded,Active,College/University,East,Uttar Pradesh,Noida,Viswajeet Biswal,Rahul Raj,Dinesh Singh,Anubha Agrawal,Nilesh Kumar,Will be received,All Courses,Client,CPS,Admission,API,50,50,NPF 8,Received,The Design Village Foundation,Offline,Mask,https://apply.thedesignvillage.org/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,20 registration & 8 admissions,8000,56,8,24-Sep-2025,24-Sep-2025,,202,Yes - Open,Stopped,Client LP,,,,No,,50,Online,,,ca21,cb21,cc21,cm21,cs21,ce21,cw21,cad21,cap21,cv21,,,Dashboard,Paid Applications,,,
22,12000022,7049200,Symbiosis Institute of Design,,Onboarded,Closed,College/University,West,Maharashtra,Pune,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Aadesh Kumar,Not Received,"B.Des, M.Des",Client,CPA,Application,Redirection,100,200,Google Sheet,NA,-,Offline,UnMask,-,,1000,177,,25-Sep-2025,1-Oct-2025,3-Jan-2026,195,Yes,Stopped,Client LP,-,,,,,5,,,,ca22,cb22,cc22,cm22,cs22,ce22,cw22,cad22,cap22,cv22,,,,,,,
23,12000023,7051156,GNIOT,P4,Onboarded,Active,College/University,North,Uttar Pradesh,Greater Noida,Karan Juneja,Shubham Rana,Dinesh Singh,Dinesh Singh,Vasudev Sharma,Not Received,ALL Courses,Client,CPL,Admission,API,,,NPF,Received,Greater Noida Institute of Technology (GNIOT),Realtime,Mask,https://apply.gniotgroup.edu.in/?utm_source=KollegeApply&utm_medium=kapp01&utm_campaign=2026,,5000,,80,1-Oct-2025,29-Sep-2025,,197,Yes - Open,Stopped,Client LP,https://www.gims.net.in/apply-now/?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026,,,No,2000,2000,All (Online/Widget/API),,,ca23,cb23,cc23,cm23,cs23,ce23,cw23,cad23,cap23,cv23,,,Dashboard,Paid Applications,Lead Stage,Admitted,
24,12000024,7042725,LPU,Ultra P1,Onboarded,Active,College/University,North,Punjab,Jalandhar,Karan Juneja,Chandra Prakash,Dinesh Singh,Dinesh Singh,Ishu Gupta,Not Received,All Courses,Client,CPS,Admission,API,100,100,NPF,Received,Lovely Professional University,Realtime,UnMask,"https://admission.lpu.in/?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026
https://www.lpu.in/landing-pages/brand/",1500 monthly mandatory lead requirement on Landing Page of the University.,,1333,400,6-Oct-2025,6-Oct-2025,,190,Yes - Hidden,Stopped,Client LP,,,,Yes,200,200,,,10-Mar-2026,ca24,cb24,cc24,cm24,cs24,ce24,cw24,cad24,cap24,cv24,,No,Dashboard,Paid Applications,Dashboard,Enrolment status,
25,12000025,7050104,IFMR Graduate School of Business,,Onboarded,Active,College/University,West,Andhra Pradesh,Sri City,Bhumit Sagathiya,Bhumit Sagathiya,Govind Mahara,Govind Mahara,Surchand Laitonjam,Received,MBA,Client,CPA,Application,API,,,NPF,Received,"IFMR GSB, Krea University",Realtime,UnMask,https://ifmrgsbadmissions.krea.edu.in/ifmr-mba-programme-applynow?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026,,,300,,1-Oct-2025,4-Oct-2025,,192,Yes,Running,Client LP,https://ifmrgsbadmissions.krea.edu.in/ifmr-mba-programme-applynow?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026,07/10/2025,,No,400,400,Both (Online/Widget),,,ca25,cb25,cc25,cm25,cs25,ce25,cw25,cad25,cap25,cv25,,Yes,Dashboard,,,,
26,12000026,7002754,Great Lakes institute of Management,,Onboarded,Closed,College/University,South,Tamil Nadu,Chennai,Raghav Luthra,Andrin,Govind Mahara,Govind Mahara,Kannav Kapoor,Received,"PGPM,PGDM",Client,CPA,Application,API,,,LSQ,Received,Great Lakes institute of Management,Realtime,Mask,https://forms.kollegeapply.com/GreatLakes2026/,,,600,,1-Oct-2025,8-Oct-2025,,188,Yes,Stopped,KAPP LP,https://forms.kollegeapply.com/GreatLakes2026/,04/11/25,,,,500,,,,ca26,cb26,cc26,cm26,cs26,ce26,cw26,cad26,cap26,cv26,,,Offline,,Offline,,
27,12000027,7032946,BIMTECH,,Onboarded,Closed,College/University,East,Uttar Pradesh,Greater Noida,Viswajeet Biswal,Rahul Raj,Dinesh Singh,Anubha Agrawal,Nilesh Kumar,Will be received,All Courses,Client,CPA,Application,API,100,300,NPF,Received,"BIMTECH, Greater Noida",Offline,Mask,https://online.admissions.bimtech.ac.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,10000,300,,4-Oct-2025,4-Oct-2025,28-Jan-2026,192,No,Stopped,NA,,,,No,0,500,Both (Online/API),,,ca27,cb27,cc27,cm27,cs27,ce27,cw27,cad27,cap27,cv27,,,Dashboard,Paid Applications,,,Target Achieved.
28,12000028,7004093,IBI,P4,Onboarded,Active,College/University,North,Uttar Pradesh,Greater Noida,Karan Juneja,Shubham Rana,Dinesh Singh,Dinesh Singh,Vasudev Sharma,Not Received,MBA/PGDM,Client,CPL,Application,API,30,50,NPF,Received,I Business Institute,Realtime,Mask,https://forms.kollegeapply.com/IBI2026/,Greater Noida,2500,120,,4-Oct-2025,8-Oct-2025,,188,Yes - Open,Not Running,Client LP,https://www.ibi.org.in/?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026,,,No,1000,1000,All (Online/Widget/API),,,ca28,cb28,cc28,cm28,cs28,ce28,cw28,cad28,cap28,cv28,,,Dashboard,Paid Applications,,,Backlog is zero.
29,12000029,7008674,KSOM,,Onboarded,Active,College/University,East,Odisha,Bhubaneswar,Viswajeet Biswal,Abhitosh Das,Dinesh Singh,Anubha Agrawal,Nilesh Kumar,Will be received,MBA,Client,CPL,Application,API,50,100,Extraaedge,Received,KSOM,Realtime,UnMask,https://kiiteem.ksom.ac.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,2500,75,,7-Oct-2025,7-Oct-2025,,189,Yes - Hidden,Stopped,Client LP,,,Running,No,,5,Both (Online/API),,,ca29,cb29,cc29,cm29,cs29,ce29,cw29,cad29,cap29,cv29,,,Dashboard,Application initiated,Dashboard,Application paid,Leads Target over. Delivery stopped. Campaign is on.
30,12000030,7050794,KSRM,,Onboarded,Active,College/University,East,Odisha,Bhubaneswar,Viswajeet Biswal,Abhitosh Das,Dinesh Singh,Anubha Agrawal,Anubha Agrawal,Will be received,MBA - RM & MBA - Agri Business,Client,CPL,Admission,API,5,15,Extraaedge,Received,KSRM,Offline,UnMask,https://kiiteem.ksrm.ac.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,u100,400,,3,7-Oct-2025,25-Oct-2025,,171,No,Stopped,Client LP,https://kiiteem.ksrm.ac.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,Running,No,,15,,0,30-Apr-2026,ca30,cb30,cc30,cm30,cs30,ce30,cw30,cad30,cap30,cv30,,,Dashboard,Application Fee Paid>>,,,
31,12000031,7049035,SVIMCS,,Onboarded,Paused,College/University,East,West Bengal,Kolkata,Viswajeet Biswal,Nikita Jha,Dinesh Singh,Anubha Agrawal,Nilesh Kumar,Will be Received,MBA/PGDM,Client,CPS,Admission,Google Sheet,5,25,Google Sheet,NA,Swami Vivekananda Institute of Management and Computer Science,Offline,UnMask,https://svimcs.org/online-admission-form/,,3000,,20,7-Oct-2025,7-Oct-2025,,189,Yes - Open,Stopped,KAPP LP,https://lp.kollegeapply.com/SVIMCS2026/,,,No,50,25,API,,,ca31,cb31,cc31,cm31,cs31,ce31,cw31,cad31,cap31,cv31,,,,,Vlookup,,No ffedback update from Client. Sales will Vlookup & will update
32,12000032,7016083,Narayana Business School,,Onboarded,Active,College/University,West,Gujarat,Ahmedabad,Bhumit Sagathiya,Mahir,Govind Mahara,Aadesh Kumar,Paras Chaturvedi,Received,MBA/PGDM,Client,CPL,Admission,API,100,300,NPF 8,Received,Narayana Business School,Realtime,UnMask,https://applications.nbs.edu.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,1000,,10,7-Oct-2025,8-Oct-2025,,188,Yes - Hidden,Stopped,Client LP,https://applications.nbs.edu.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,-,,Yes,40,40,,2000,,ca32,cb32,cc32,cm32,cs32,ce32,cw32,cad32,cap32,cv32,,Yes,Dashboard,,Dashboard,,
33,12000033,7052727,Workfreaks Business School,,Onboarded,Active,College/University,South,Tamil Nadu,Chennai,Raghav Luthra,Andrin,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,"Integrated MBA, MCA",Client,CPL,Admission,Google Sheet,,,Google Sheet,NA,Workfreaks Business School,Offline,UnMask,-,,2500,,5,9-Oct-2025,9-Oct-2025,,187,Yes,Not Running,,-,-,,No,50,50,,,,ca33,cb33,cc33,cm33,cs33,ce33,cw33,cad33,cap33,cv33,,,Vlookup,,Vlookup,,
34,12000034,7006265,JAGSOM,,Onboarded,Active,College/University,South,Karnataka,Bangalore,Raghav Luthra,Raghav Luthra,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,PGDM,Client,CPL,Application,API,,,NPF,Received,Jagdish Sheth School of Management,Realtime,UnMask,https://admissions.jagsom.edu.in/apply-for-pgdm-2026/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,5000,100,,9-Oct-2025,11-Oct-2025,,185,Yes,Running,Client LP,https://admissions.jagsom.edu.in/apply-for-pgdm-2026/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,11-Oct-2025,,Yes,300,300,,,,ca34,cb34,cc34,cm34,cs34,ce34,cw34,cad34,cap34,cv34,,Yes,Dashboard,,Dashboard,,
35,12000035,7017328,NSB Academy Bangalore,,Onboarded,Active,College/University,South,Karnataka,Bangalore,Raghav Luthra,Roshan Das,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,"PGDM, MBA , BBA",Client,CPL,Admission,API,,,LSQ,Not Received,,Offline,Mask,https://forms.kollegeapply.com/NSB2026/,,,,10,9-Oct-2025,14-Oct-2025,,182,Yes,Running,Client LP,https://forms.kollegeapply.com/NSB2026/,,,No,1000,300,,,,ca35,cb35,cc35,cm35,cs35,ce35,cw35,cad35,cap35,cv35,,No,Offline,,Offline,,
36,12000036,7050712,IPS Business School,,Onboarded,Active,College/University,West,Rajasthan,Jaipur,Mayank Kothari,Mohit Thakur,Govind Mahara,Ankit Kumar,Kannav Kapoor,Received,"MBA, BBA, BCA",Client,CPL,Admission,API,,,NPF,Not Received,,Realtime,Mask,https://admissions.ipsedu.in/?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026,,,,,10-Oct-2025,3-Apr-2026,,11,No,Not Running,,https://admissions.ipsedu.in/?utm_source=kollegeapply&utm_medium=kapp01&utm_campaign=2026,-,,,,15,,,,ca36,cb36,cc36,cm36,cs36,ce36,cw36,cad36,cap36,cv36,,,Dashboard,,Dashboard,,
37,12000037,7043284,Woxsen University,,Onboarded,Active,College/University,West,Telangana,Hyderabad,Bhumit Sagathiya,Bhumit Sagathiya,Govind Mahara,Govind Mahara,Surchand Laitonjam,Received,All Courses,Client,CPL,Application,API,,,NPF,Received,Woxsen University,Realtime,Mask,https://applications.woxsen.edu.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,1000,,10-Oct-2025,11-Oct-2025,,185,No,Running,Client LP,https://applications.woxsen.edu.in/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,No,5000,2000,Online,,,ca37,cb37,cc37,cm37,cs37,ce37,cw37,cad37,cap37,cv37,,Yes,Dashboard,,,,
